"","model","testletid","itemid","alphabet","A","B","C","D","item_prompt","response","cleaned_response","correct_response","correct","stringdist","model_short","participant_id","participant_group","exclude","exclude_comment"
"1","claude-3-5-sonnet-20241022",1,101,"Latin","a","b","j","k","If a changes to b, what does j change to ?","k","k","k",1,0,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA
"2","claude-3-5-sonnet-20241022",1,102,"Latin","c d","c d d","j k","j k k","If c d changes to c d d, what does j k change to ?","j k k","j k k","j k k",1,0,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA
"3","claude-3-5-sonnet-20241022",1,1001,"Latin","a b","a c","e f","e g","If a b changes to a c, what does e f change to ?","e g","e g","e g",1,0,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA
"4","claude-3-5-sonnet-20241022",1,1002,"Latin","b c","b b d d","h i","h h j j","If b c changes to b b d d, what does h i change to ?","h h j j","h h j j","h h j j",1,0,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA
"5","claude-3-5-sonnet-20241022",1,1003,"Latin","c d","c f","g h","g j","If c d changes to c f, what does g h change to ?","g j","g j","g j",1,0,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA
"6","claude-3-5-sonnet-20241022",1,1004,"Latin","a b","a c c","f g","f h h","If a b changes to a c c, what does f g change to ?","f h h","f h h","f h h",1,0,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA
"7","claude-3-5-sonnet-20241022",1,1005,"Latin","c d","b d","j j k k","i i k k","If c d changes to b d, what does j j k k change to ?","i j k k","i j k k","i i k k",0,1,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA
"8","claude-3-5-sonnet-20241022",1,1001,"Greek","beta gamma","beta delta","zeta eta","zeta theta","If beta gamma changes to beta delta, what does zeta eta change to ?","zeta theta","zeta theta","zeta theta",1,0,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA
"9","claude-3-5-sonnet-20241022",1,1002,"Greek","alpha beta","alpha alpha gamma gamma","eta theta","eta eta iota iota","If alpha beta changes to alpha alpha gamma gamma, what does eta theta change to ?","eta eta iota iota","eta eta iota iota","eta eta iota iota",1,0,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA
"10","claude-3-5-sonnet-20241022",1,1003,"Greek","alpha beta","alpha delta","epsilon zeta","epsilon theta","If alpha beta changes to alpha delta, what does epsilon zeta change to ?","epsilon theta","epsilon theta","epsilon theta",1,0,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA
"11","claude-3-5-sonnet-20241022",1,1004,"Greek","gamma delta","gamma epsilon epsilon","theta iota","theta kappa kappa","If gamma delta changes to gamma epsilon epsilon, what does theta iota change to ?","theta kappa kappa","theta kappa kappa","theta kappa kappa",1,0,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA
"12","claude-3-5-sonnet-20241022",1,1005,"Greek","beta gamma","alpha gamma","zeta zeta eta eta","epsilon epsilon eta eta","If beta gamma changes to alpha gamma, what does zeta zeta eta eta change to ?","zeta zeta theta theta","zeta zeta theta theta","epsilon epsilon eta eta",0,4,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA
"13","claude-3-5-sonnet-20241022",1,1001,"Symbol","* @","* %","^ #","^ ~","If * @ changes to * %, what does ^ # change to ?","^ ~","^ ~","^ ~",1,0,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA
"14","claude-3-5-sonnet-20241022",1,1002,"Symbol","* @","* * % %","! ^","! ! # #","If * @ changes to * * % %, what does ! ^ change to ?","! ! # #","! ! # #","! ! # #",1,0,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA
"15","claude-3-5-sonnet-20241022",1,1003,"Symbol","@ %","@ ^","% !","% #","If @ % changes to @ ^, what does % ! change to ?","% #","% #","% #",1,0,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA
"16","claude-3-5-sonnet-20241022",1,1004,"Symbol","@ %","@ ! !","# ~","# $ $","If @ % changes to @ ! !, what does # ~ change to ?","# $ $","# $ $","# $ $",1,0,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA
"17","claude-3-5-sonnet-20241022",1,1005,"Symbol","% !","@ !","~ ~ $ $","# # $ $","If % ! changes to @ !, what does ~ ~ $ $ change to ?","~ ~ { {","~ ~ { {","# # $ $",0,4,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA
"18","gpt-4o-2024-08-06",1,101,"Latin","a","b","j","k","If a changes to b, what does j change to ?","k","k","k",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA
