"participant_id","participant_group","age_yrs","edu_year","letterstring_response_id","itemid","alphabet","A","B","C","D","response","rt","correct"
3730,"child",8,4,796,101,"Latin","a","b","j","k","k",13544,1
3730,"child",8,4,797,102,"Latin","c d","c d d","j k","jkk","",231,0
3730,"child",8,4,808,1001,"Latin","a b","a c","g h","gi","gi",35386,1
3730,"child",8,4,812,1002,"Latin","c d","c c e e","m n","mmoo","mmnn",44784,0
3730,"child",8,4,814,1003,"Latin","e f","e h","k l","kn","ko",49845,0
3730,"child",8,4,816,1004,"Latin","d e","d f f","g h","gii","gii",51562,1
3730,"child",8,4,818,1005,"Latin","c d","b d","m m n n","llnn","ppqq",20755,0
3730,"child",8,4,820,1001,"Greek","&alpha; &beta;","&alpha; &gamma;","&zeta; &eta;","&zeta;&theta;","&zeta;&theta;",52560,1
3730,"child",8,4,821,1002,"Greek","&gamma; &delta;","&gamma; &gamma; &epsilon; &epsilon;","&kappa; &lambda;","&kappa;&kappa;&mu;&mu;","&kappa;&mu;&mu;",14999,0
3730,"child",8,4,822,1003,"Greek","&epsilon; &zeta;","&epsilon; &theta;","&iota; &kappa;","&iota;&mu;","&iota;&mu;",26467,1
3730,"child",8,4,823,1004,"Greek","&eta; &theta;","&eta; &iota; &iota;","&lambda; &mu;","&lambda;&nu;&nu;","&lambda;&xi;&xi;",39514,0
3730,"child",8,4,824,1005,"Greek","&beta; &gamma;","&alpha; &gamma;","&nu; &nu; &xi; &xi;","&mu;&mu;&xi;&xi;","&nu;&nu;&mu;&mu;",20198,0
3730,"child",8,4,826,1001,"Symbol","* @","* %","~ $","~{","~{",26465,1
3730,"child",8,4,827,1002,"Symbol","% !","% % ^ ^","? :","??]]","??]]",29169,1
3730,"child",8,4,828,1003,"Symbol","@ %","@ ^","# ~","#{","$??",58088,0
3730,"child",8,4,830,1004,"Symbol","! ^","! # #","$ {","$??","",15283,0
3730,"child",8,4,831,1005,"Symbol","^ #","! #","? ? : :","{{::","",916,0
3743,"child",9,5,837,101,"Latin","a","b","j","k","k",38355,1
3743,"child",9,5,838,102,"Latin","c d","c d d","j k","jkk","jkk",11968,1
3743,"child",9,5,839,1001,"Latin","a b","a c","g h","gi","gi",12706,1
3743,"child",9,5,841,1002,"Latin","c d","c c e e","m n","mmoo","mmoo",28815,1
3743,"child",9,5,842,1003,"Latin","e f","e h","k l","kn","kn",10154,1
3743,"child",9,5,844,1004,"Latin","d e","d f f","g h","gii","gii",11708,1
3743,"child",9,5,847,1005,"Latin","c d","b d","m m n n","llnn","",94337,0
3743,"child",9,5,850,1001,"Greek","&alpha; &beta;","&alpha; &gamma;","&zeta; &eta;","&zeta;&theta;","&zeta;&theta;",16777,1
3743,"child",9,5,853,1002,"Greek","&gamma; &delta;","&gamma; &gamma; &epsilon; &epsilon;","&kappa; &lambda;","&kappa;&kappa;&mu;&mu;","&kappa;&kappa;&mu;&mu;",56700,1
3743,"child",9,5,855,1003,"Greek","&epsilon; &zeta;","&epsilon; &theta;","&iota; &kappa;","&iota;&mu;","&iota;&mu;",21859,1
3743,"child",9,5,860,1004,"Greek","&eta; &theta;","&eta; &iota; &iota;","&lambda; &mu;","&lambda;&nu;&nu;","&lambda;&nu;&nu;",86287,1
3743,"child",9,5,861,1005,"Greek","&beta; &gamma;","&alpha; &gamma;","&nu; &nu; &xi; &xi;","&mu;&mu;&xi;&xi;","&beta;",29519,0
3743,"child",9,5,862,1001,"Symbol","* @","* %","~ $","~{","~{",43738,1
3743,"child",9,5,863,1002,"Symbol","% !","% % ^ ^","? :","??]]","??]]",59823,1
3743,"child",9,5,864,1003,"Symbol","@ %","@ ^","# ~","#{","#{",56278,1
3743,"child",9,5,865,1004,"Symbol","! ^","! # #","$ {","$??","$??",43497,1
3743,"child",9,5,866,1005,"Symbol","^ #","! #","? ? : :","{{::","{{::",89520,1
3752,"child",8,5,867,101,"Latin","a","b","j","k","k",16631,1
3752,"child",8,5,869,102,"Latin","c d","c d d","j k","jkk","jkk",22649,1
3752,"child",8,5,871,1001,"Latin","a b","a c","g h","gi","gi",16603,1
3752,"child",8,5,873,1002,"Latin","c d","c c e e","m n","mmoo","mmoo",27565,1
3752,"child",8,5,875,1003,"Latin","e f","e h","k l","kn","km",9215,0
3752,"child",8,5,876,1004,"Latin","d e","d f f","g h","gii","gii",19292,1
3752,"child",8,5,879,1005,"Latin","c d","b d","m m n n","llnn","lo",42195,0
3752,"child",8,5,880,1001,"Greek","&alpha; &beta;","&alpha; &gamma;","&zeta; &eta;","&zeta;&theta;","&zeta;&theta;",15312,1
3752,"child",8,5,882,1002,"Greek","&gamma; &delta;","&gamma; &gamma; &epsilon; &epsilon;","&kappa; &lambda;","&kappa;&kappa;&mu;&mu;","&kappa;&kappa;&mu;&mu;",28567,1
3752,"child",8,5,884,1003,"Greek","&epsilon; &zeta;","&epsilon; &theta;","&iota; &kappa;","&iota;&mu;","&iota;&lambda;",29025,0
3752,"child",8,5,886,1004,"Greek","&eta; &theta;","&eta; &iota; &iota;","&lambda; &mu;","&lambda;&nu;&nu;","&lambda;&mu;&mu;",40754,0
3752,"child",8,5,887,1005,"Greek","&beta; &gamma;","&alpha; &gamma;","&nu; &nu; &xi; &xi;","&mu;&mu;&xi;&xi;","&mu;&xi;",29332,0
3752,"child",8,5,889,1001,"Symbol","* @","* %","~ $","~{","~{",18859,1
3752,"child",8,5,890,1002,"Symbol","% !","% % ^ ^","? :","??]]","??]]",15901,1
3752,"child",8,5,894,1003,"Symbol","@ %","@ ^","# ~","#{","#{",53986,1
3752,"child",8,5,896,1004,"Symbol","! ^","! # #","$ {","$??","$??",33690,1
3752,"child",8,5,898,1005,"Symbol","^ #","! #","? ? : :","{{::","{:",22014,0
3760,"child",9,5,901,101,"Latin","a","b","j","k","k",29748,1
3760,"child",9,5,902,102,"Latin","c d","c d d","j k","jkk","jkk",7210,1
3760,"child",9,5,903,1001,"Latin","a b","a c","g h","gi","gi",22500,1
3760,"child",9,5,904,1002,"Latin","c d","c c e e","m n","mmoo","mmoo",71774,1
3760,"child",9,5,905,1003,"Latin","e f","e h","k l","kn","kn",29970,1
3760,"child",9,5,906,1004,"Latin","d e","d f f","g h","gii","gii",42107,1
3762,"child",8,5,907,101,"Latin","a","b","j","k","k",4202,1
3762,"child",8,5,908,102,"Latin","c d","c d d","j k","jkk","jkk",11154,1
3762,"child",8,5,909,1001,"Latin","a b","a c","g h","gi","gi",13527,1
3762,"child",8,5,910,1002,"Latin","c d","c c e e","m n","mmoo","mmoo",9142,1
3760,"child",9,5,911,1005,"Latin","c d","b d","m m n n","llnn","llmm",53150,0
3762,"child",8,5,912,1003,"Latin","e f","e h","k l","kn","kn",56669,1
3762,"child",8,5,913,1004,"Latin","d e","d f f","g h","gii","gii",21158,1
3760,"child",9,5,914,1002,"Greek","&gamma; &delta;","&gamma; &gamma; &epsilon; &epsilon;","&kappa; &lambda;","&kappa;&kappa;&mu;&mu;","&kappa;&kappa;&mu;&mu;",51463,1
3762,"child",8,5,915,1005,"Latin","c d","b d","m m n n","llnn","nnll",65293,0
3760,"child",9,5,916,1003,"Greek","&epsilon; &zeta;","&epsilon; &theta;","&iota; &kappa;","&iota;&mu;","&kappa;&kappa;&mu;&mu;",51463,0
3762,"child",8,5,917,1001,"Greek","&alpha; &beta;","&alpha; &gamma;","&zeta; &eta;","&zeta;&theta;","&zeta;&theta;",25020,1
3760,"child",9,5,918,1004,"Greek","&eta; &theta;","&eta; &iota; &iota;","&lambda; &mu;","&lambda;&nu;&nu;","&lambda;&nu;&nu;",23193,1
3760,"child",9,5,919,1005,"Greek","&beta; &gamma;","&alpha; &gamma;","&nu; &nu; &xi; &xi;","&mu;&mu;&xi;&xi;","",276,0
3760,"child",9,5,920,1001,"Symbol","* @","* %","~ $","~{","~{",37562,1
3762,"child",8,5,921,1002,"Greek","&gamma; &delta;","&gamma; &gamma; &epsilon; &epsilon;","&kappa; &lambda;","&kappa;&kappa;&mu;&mu;","&kappa;&kappa;&mu;&mu;",46414,1
3762,"child",8,5,922,1003,"Greek","&epsilon; &zeta;","&epsilon; &theta;","&iota; &kappa;","&iota;&mu;","",2728,0
3762,"child",8,5,923,1004,"Greek","&eta; &theta;","&eta; &iota; &iota;","&lambda; &mu;","&lambda;&nu;&nu;","&lambda;&nu;&nu;",15922,1
3760,"child",9,5,924,1002,"Symbol","% !","% % ^ ^","? :","??]]","??]]",45180,1
3762,"child",8,5,925,1005,"Greek","&beta; &gamma;","&alpha; &gamma;","&nu; &nu; &xi; &xi;","&mu;&mu;&xi;&xi;","&xi;&xi;&mu;&mu;",35154,0
3760,"child",9,5,926,1003,"Symbol","@ %","@ ^","# ~","#{","#{",32592,1
3762,"child",8,5,927,1001,"Symbol","* @","* %","~ $","~{","~{",18888,1
3760,"child",9,5,928,1004,"Symbol","! ^","! # #","$ {","$??","$??",12814,1
3762,"child",8,5,929,1002,"Symbol","% !","% % ^ ^","? :","??]]","??]]",49747,1
3760,"child",9,5,930,1005,"Symbol","^ #","! #","? ? : :","{{::","$$::",43545,0
3762,"child",8,5,931,1003,"Symbol","@ %","@ ^","# ~","#{","#{",32959,1
3762,"child",8,5,932,1004,"Symbol","! ^","! # #","$ {","$??","$??",12813,1
3762,"child",8,5,933,1005,"Symbol","^ #","! #","? ? : :","{{::","{{::",44543,1
3766,"child",9,5,985,101,"Latin","a","b","j","k","k",17943,1
3766,"child",9,5,986,102,"Latin","c d","c d d","j k","jkk","jkk",17789,1
3766,"child",9,5,987,1001,"Latin","a b","a c","g h","gi","gi",17472,1
3766,"child",9,5,988,1002,"Latin","c d","c c e e","m n","mmoo","mmoo",22177,1
3766,"child",9,5,989,1003,"Latin","e f","e h","k l","kn","km",17335,0
3766,"child",9,5,990,1004,"Latin","d e","d f f","g h","gii","gii",30764,1
3766,"child",9,5,991,1005,"Latin","c d","b d","m m n n","llnn","llnn",34246,1
3766,"child",9,5,992,1001,"Greek","&alpha; &beta;","&alpha; &gamma;","&zeta; &eta;","&zeta;&theta;","&zeta;&theta;",22194,1
3766,"child",9,5,993,1002,"Greek","&gamma; &delta;","&gamma; &gamma; &epsilon; &epsilon;","&kappa; &lambda;","&kappa;&kappa;&mu;&mu;","&kappa;&mu;&mu;",25037,0
3766,"child",9,5,994,1003,"Greek","&epsilon; &zeta;","&epsilon; &theta;","&iota; &kappa;","&iota;&mu;","&iota;&mu;",34280,1
3766,"child",9,5,995,1004,"Greek","&eta; &theta;","&eta; &iota; &iota;","&lambda; &mu;","&lambda;&nu;&nu;","&lambda;&nu;&nu;",32550,1
3771,"child",7,4,996,101,"Latin","a","b","j","k","k",16889,1
3771,"child",7,4,997,102,"Latin","c d","c d d","j k","jkk","jkk",10938,1
3771,"child",7,4,998,1001,"Latin","a b","a c","g h","gi","ghj",24176,0
3766,"child",9,5,999,1005,"Greek","&beta; &gamma;","&alpha; &gamma;","&nu; &nu; &xi; &xi;","&mu;&mu;&xi;&xi;","&mu;&mu;&xi;&xi;",40589,1
3766,"child",9,5,1000,1001,"Symbol","* @","* %","~ $","~{","~{",10812,1
3766,"child",9,5,1001,1002,"Symbol","% !","% % ^ ^","? :","??]]","??]]",15892,1
3771,"child",7,4,1002,1002,"Latin","c d","c c e e","m n","mmoo","mmnn",60046,0
3771,"child",7,4,1003,1003,"Latin","e f","e h","k l","kn","mn",22237,0
3766,"child",9,5,1004,1003,"Symbol","@ %","@ ^","# ~","#{","#{",46953,1
3766,"child",9,5,1005,1004,"Symbol","! ^","! # #","$ {","$??","$??",22569,1
3771,"child",7,4,1006,1004,"Latin","d e","d f f","g h","gii","gii",27544,1
3766,"child",9,5,1007,1005,"Symbol","^ #","! #","? ? : :","{{::","{{::",27023,1
3771,"child",7,4,1008,1005,"Latin","c d","b d","m m n n","llnn","mmoo",94326,0
3772,"child",8,4,1009,101,"Latin","a","b","j","k","k",16457,1
3771,"child",7,4,1010,1001,"Greek","&alpha; &beta;","&alpha; &gamma;","&zeta; &eta;","&zeta;&theta;","&zeta;&theta;",28650,1
3771,"child",7,4,1011,1002,"Greek","&gamma; &delta;","&gamma; &gamma; &epsilon; &epsilon;","&kappa; &lambda;","&kappa;&kappa;&mu;&mu;","&kappa;&kappa;&mu;&mu;",32657,1
3772,"child",8,4,1012,102,"Latin","c d","c d d","j k","jkk","jkk",60693,1
3771,"child",7,4,1013,1003,"Greek","&epsilon; &zeta;","&epsilon; &theta;","&iota; &kappa;","&iota;&mu;","&iota;&lambda;",29154,0
3772,"child",8,4,1014,1001,"Latin","a b","a c","g h","gi","gi",22387,1
3772,"child",8,4,1015,1002,"Latin","c d","c c e e","m n","mmoo","oopp",22561,0
3771,"child",7,4,1016,1004,"Greek","&eta; &theta;","&eta; &iota; &iota;","&lambda; &mu;","&lambda;&nu;&nu;","&lambda;&nu;&nu;",49069,1
3772,"child",8,4,1017,1003,"Latin","e f","e h","k l","kn","km",19344,0
3772,"child",8,4,1018,1004,"Latin","d e","d f f","g h","gii","gii",27992,1
3771,"child",7,4,1019,1005,"Greek","&beta; &gamma;","&alpha; &gamma;","&nu; &nu; &xi; &xi;","&mu;&mu;&xi;&xi;","&xi;&xi;&nu;&nu;",121945,0
3772,"child",8,4,1020,1005,"Latin","c d","b d","m m n n","llnn","kknn",117004,0
3771,"child",7,4,1021,1001,"Symbol","* @","* %","~ $","~{","~{",35010,1
3772,"child",8,4,1022,1001,"Greek","&alpha; &beta;","&alpha; &gamma;","&zeta; &eta;","&zeta;&theta;","&theta;&iota;",18348,0
3772,"child",8,4,1023,1002,"Greek","&gamma; &delta;","&gamma; &gamma; &epsilon; &epsilon;","&kappa; &lambda;","&kappa;&kappa;&mu;&mu;","&mu;&mu;&nu;&nu;",27013,0
3771,"child",7,4,1024,1002,"Symbol","% !","% % ^ ^","? :","??]]","??]]",48968,1
3772,"child",8,4,1025,1003,"Greek","&epsilon; &zeta;","&epsilon; &theta;","&iota; &kappa;","&iota;&mu;","&iota;&mu;",20627,1
3771,"child",7,4,1026,1003,"Symbol","@ %","@ ^","# ~","#{","#$",30613,0
3771,"child",7,4,1027,1004,"Symbol","! ^","! # #","$ {","$??","$??",23593,1
3772,"child",8,4,1028,1004,"Greek","&eta; &theta;","&eta; &iota; &iota;","&lambda; &mu;","&lambda;&nu;&nu;","&lambda;&nu;&nu;",41640,1
3771,"child",7,4,1029,1005,"Symbol","^ #","! #","? ? : :","{{::",":]",48542,0
3772,"child",8,4,1030,1005,"Greek","&beta; &gamma;","&alpha; &gamma;","&nu; &nu; &xi; &xi;","&mu;&mu;&xi;&xi;","&lambda;&lambda;&xi;&xi;",128251,0
3772,"child",8,4,1031,1001,"Symbol","* @","* %","~ $","~{","~{",33087,1
3779,"child",8,5,1032,101,"Latin","a","b","j","k","k",25109,1
3772,"child",8,4,1033,1002,"Symbol","% !","% % ^ ^","? :","??]]","??]]",27902,1
3779,"child",8,5,1034,102,"Latin","c d","c d d","j k","jkk","jkk",13025,1
3779,"child",8,5,1035,1001,"Latin","a b","a c","g h","gi","gi",8130,1
3772,"child",8,4,1036,1003,"Symbol","@ %","@ ^","# ~","#{","#$",25936,0
3779,"child",8,5,1037,1002,"Latin","c d","c c e e","m n","mmoo","mmee",23996,0
3779,"child",8,5,1038,1003,"Latin","e f","e h","k l","kn","kn",16492,1
3772,"child",8,4,1039,1004,"Symbol","! ^","! # #","$ {","$??","${{",37505,0
3779,"child",8,5,1040,1004,"Latin","d e","d f f","g h","gii","gii",23097,1
3772,"child",8,4,1041,1005,"Symbol","^ #","! #","? ? : :","{{::","??{{",54911,0
3779,"child",8,5,1042,1005,"Latin","c d","b d","m m n n","llnn","llnn",74584,1
3779,"child",8,5,1043,1001,"Greek","&alpha; &beta;","&alpha; &gamma;","&zeta; &eta;","&zeta;&theta;","&zeta;&theta;",30193,1
3785,"child",8,5,1044,101,"Latin","a","b","j","k","k",29980,1
3779,"child",8,5,1045,1002,"Greek","&gamma; &delta;","&gamma; &gamma; &epsilon; &epsilon;","&kappa; &lambda;","&kappa;&kappa;&mu;&mu;","&kappa;&kappa;&mu;&mu;",106083,1
3785,"child",8,5,1046,102,"Latin","c d","c d d","j k","jkk","jkk",38697,1
3779,"child",8,5,1047,1003,"Greek","&epsilon; &zeta;","&epsilon; &theta;","&iota; &kappa;","&iota;&mu;","&iota;&mu;",77687,1
3785,"child",8,5,1048,1001,"Latin","a b","a c","g h","gi","gi",69005,1
3779,"child",8,5,1049,1004,"Greek","&eta; &theta;","&eta; &iota; &iota;","&lambda; &mu;","&lambda;&nu;&nu;","&lambda;&nu;&nu;",65065,1
3779,"child",8,5,1050,1005,"Greek","&beta; &gamma;","&alpha; &gamma;","&nu; &nu; &xi; &xi;","&mu;&mu;&xi;&xi;","&mu;&mu;&xi;&xi;",37481,1
3779,"child",8,5,1051,1001,"Symbol","* @","* %","~ $","~{","~{",23628,1
3785,"child",8,5,1052,1002,"Latin","c d","c c e e","m n","mmoo","mmoo",125144,1
3779,"child",8,5,1053,1002,"Symbol","% !","% % ^ ^","? :","??]]","??]]",27083,1
