model,rowid,timestamp,itemid,prev_next,prev_next_dist,alphabet,stimulus,solution,response,template_nr
claude-3-5-sonnet-20241022,0,20241028223031,213,prev,1,Latin,c,b,b,0
claude-3-5-sonnet-20241022,1,20241028223032,223,prev,2,Latin,c,a,a,0
claude-3-5-sonnet-20241022,2,20241028223032,313,next,1,Latin,c,d,d,0
claude-3-5-sonnet-20241022,3,20241028223034,323,next,2,Latin,c,e,e,0
claude-3-5-sonnet-20241022,4,20241028223035,213,prev,1,Greek,gamma,beta,beta,0
claude-3-5-sonnet-20241022,5,20241028223036,223,prev,2,Greek,gamma,alpha,alpha,0
claude-3-5-sonnet-20241022,6,20241028223037,313,next,1,Greek,gamma,delta,delta,0
claude-3-5-sonnet-20241022,7,20241028223038,323,next,2,Greek,gamma,epsilon,epsilon,0
claude-3-5-sonnet-20241022,8,20241028223039,213,prev,1,Symbol,%,@,@,0
claude-3-5-sonnet-20241022,9,20241028223040,223,prev,2,Symbol,%,*,@,0
claude-3-5-sonnet-20241022,10,20241028223040,313,next,1,Symbol,%,!,!,0
claude-3-5-sonnet-20241022,11,20241028223042,323,next,2,Symbol,%,^,#,0
claude-3-5-sonnet-20241022,12,20241028223043,214,prev,1,Latin,d,c,c,0
claude-3-5-sonnet-20241022,13,20241028223044,224,prev,2,Latin,d,b,b,0
claude-3-5-sonnet-20241022,14,20241028223044,314,next,1,Latin,d,e,e,0
claude-3-5-sonnet-20241022,15,20241028223045,324,next,2,Latin,d,f,f,0
claude-3-5-sonnet-20241022,16,20241028223049,214,prev,1,Greek,delta,gamma,gamma,0
claude-3-5-sonnet-20241022,17,20241028223050,224,prev,2,Greek,delta,beta,beta,0
claude-3-5-sonnet-20241022,18,20241028223051,314,next,1,Greek,delta,epsilon,epsilon,0
claude-3-5-sonnet-20241022,19,20241028223052,324,next,2,Greek,delta,zeta,zeta,0
claude-3-5-sonnet-20241022,20,20241028223053,214,prev,1,Symbol,!,%,%,0
claude-3-5-sonnet-20241022,21,20241028223053,224,prev,2,Symbol,!,@,@,0
claude-3-5-sonnet-20241022,22,20241028223054,314,next,1,Symbol,!,^,^,0
claude-3-5-sonnet-20241022,23,20241028223056,324,next,2,Symbol,!,#,#,0
claude-3-5-sonnet-20241022,24,20241028223056,215,prev,1,Latin,e,d,d,0
claude-3-5-sonnet-20241022,25,20241028223057,225,prev,2,Latin,e,c,c,0
claude-3-5-sonnet-20241022,26,20241028223058,315,next,1,Latin,e,f,f,0
claude-3-5-sonnet-20241022,27,20241028223102,325,next,2,Latin,e,g,g,0
claude-3-5-sonnet-20241022,28,20241028223103,215,prev,1,Greek,epsilon,delta,delta,0
claude-3-5-sonnet-20241022,29,20241028223104,225,prev,2,Greek,epsilon,gamma,gamma,0
claude-3-5-sonnet-20241022,30,20241028223104,315,next,1,Greek,epsilon,zeta,zeta,0
claude-3-5-sonnet-20241022,31,20241028223106,325,next,2,Greek,epsilon,eta,eta,0
claude-3-5-sonnet-20241022,32,20241028223106,215,prev,1,Symbol,^,!,!,0
claude-3-5-sonnet-20241022,33,20241028223107,225,prev,2,Symbol,^,%,%,0
claude-3-5-sonnet-20241022,34,20241028223107,315,next,1,Symbol,^,#,#,0
claude-3-5-sonnet-20241022,35,20241028223109,325,next,2,Symbol,^,~,~,0
claude-3-5-sonnet-20241022,36,20241028223110,216,prev,1,Latin,f,e,e,0
claude-3-5-sonnet-20241022,37,20241028223111,226,prev,2,Latin,f,d,d,0
claude-3-5-sonnet-20241022,38,20241028223111,316,next,1,Latin,f,g,g,0
claude-3-5-sonnet-20241022,39,20241028223113,326,next,2,Latin,f,h,h,0
claude-3-5-sonnet-20241022,40,20241028223114,216,prev,1,Greek,zeta,epsilon,epsilon,0
claude-3-5-sonnet-20241022,41,20241028223114,226,prev,2,Greek,zeta,delta,delta,0
claude-3-5-sonnet-20241022,42,20241028223115,316,next,1,Greek,zeta,eta,eta,0
claude-3-5-sonnet-20241022,43,20241028223116,326,next,2,Greek,zeta,theta,eta,0
claude-3-5-sonnet-20241022,44,20241028223117,216,prev,1,Symbol,#,^,^,0
claude-3-5-sonnet-20241022,45,20241028223118,226,prev,2,Symbol,#,!,!,0
claude-3-5-sonnet-20241022,46,20241028223118,316,next,1,Symbol,#,~,~,0
claude-3-5-sonnet-20241022,47,20241028223119,326,next,2,Symbol,#,$,$,0
claude-3-5-sonnet-20241022,48,20241028223120,217,prev,1,Latin,g,f,f,0
claude-3-5-sonnet-20241022,49,20241028223121,227,prev,2,Latin,g,e,e,0
claude-3-5-sonnet-20241022,50,20241028223121,317,next,1,Latin,g,h,h,0
claude-3-5-sonnet-20241022,51,20241028223123,327,next,2,Latin,g,i,i,0
claude-3-5-sonnet-20241022,52,20241028223124,217,prev,1,Greek,eta,zeta,zeta,0
claude-3-5-sonnet-20241022,53,20241028223124,227,prev,2,Greek,eta,epsilon,epsilon,0
claude-3-5-sonnet-20241022,54,20241028223125,317,next,1,Greek,eta,theta,theta,0
claude-3-5-sonnet-20241022,55,20241028223127,327,next,2,Greek,eta,iota,theta,0
claude-3-5-sonnet-20241022,56,20241028223128,217,prev,1,Symbol,~,#,#,0
claude-3-5-sonnet-20241022,57,20241028223128,227,prev,2,Symbol,~,^,!,0
claude-3-5-sonnet-20241022,58,20241028223129,317,next,1,Symbol,~,$,$,0
claude-3-5-sonnet-20241022,59,20241028223130,327,next,2,Symbol,~,{,{,0
claude-3-5-sonnet-20241022,60,20241028223131,218,prev,1,Latin,h,g,g,0
claude-3-5-sonnet-20241022,61,20241028223132,228,prev,2,Latin,h,f,f,0
claude-3-5-sonnet-20241022,62,20241028223133,318,next,1,Latin,h,i,i,0
claude-3-5-sonnet-20241022,63,20241028223134,328,next,2,Latin,h,j,j,0
claude-3-5-sonnet-20241022,64,20241028223135,218,prev,1,Greek,theta,eta,eta,0
claude-3-5-sonnet-20241022,65,20241028223136,228,prev,2,Greek,theta,zeta,eta,0
claude-3-5-sonnet-20241022,66,20241028223136,318,next,1,Greek,theta,iota,iota,0
claude-3-5-sonnet-20241022,67,20241028223138,328,next,2,Greek,theta,kappa,kappa,0
claude-3-5-sonnet-20241022,68,20241028223139,218,prev,1,Symbol,$,~,~,0
claude-3-5-sonnet-20241022,69,20241028223140,228,prev,2,Symbol,$,#,#,0
claude-3-5-sonnet-20241022,70,20241028223140,318,next,1,Symbol,$,{,{,0
claude-3-5-sonnet-20241022,71,20241028223141,328,next,2,Symbol,$,=,{,0
claude-3-sonnet-20240229,0,20241028223142,213,prev,1,Latin,c,b,b,0
claude-3-sonnet-20240229,1,20241028223143,223,prev,2,Latin,c,a,a,0
claude-3-sonnet-20240229,2,20241028223143,313,next,1,Latin,c,d,d,0
claude-3-sonnet-20240229,3,20241028223144,323,next,2,Latin,c,e,e,0
claude-3-sonnet-20240229,4,20241028223145,213,prev,1,Greek,gamma,beta,beta,0
claude-3-sonnet-20240229,5,20241028223146,223,prev,2,Greek,gamma,alpha,alpha,0
claude-3-sonnet-20240229,6,20241028223147,313,next,1,Greek,gamma,delta,delta,0
claude-3-sonnet-20240229,7,20241028223147,323,next,2,Greek,gamma,epsilon,epsilon,0
claude-3-sonnet-20240229,8,20241028223149,213,prev,1,Symbol,%,@,$,0
claude-3-sonnet-20240229,9,20241028223150,223,prev,2,Symbol,%,*,*,0
claude-3-sonnet-20240229,10,20241028223150,313,next,1,Symbol,%,!,!,0
claude-3-sonnet-20240229,11,20241028223151,323,next,2,Symbol,%,^,!,0
claude-3-sonnet-20240229,12,20241028223152,214,prev,1,Latin,d,c,c,0
claude-3-sonnet-20240229,13,20241028223153,224,prev,2,Latin,d,b,b,0
claude-3-sonnet-20240229,14,20241028223154,314,next,1,Latin,d,e,e,0
claude-3-sonnet-20240229,15,20241028223154,324,next,2,Latin,d,f,f,0
claude-3-sonnet-20240229,16,20241028223155,214,prev,1,Greek,delta,gamma,gamma,0
claude-3-sonnet-20240229,17,20241028223157,224,prev,2,Greek,delta,beta,beta,0
claude-3-sonnet-20240229,18,20241028223158,314,next,1,Greek,delta,epsilon,epsilon,0
claude-3-sonnet-20240229,19,20241028223158,324,next,2,Greek,delta,zeta,epsilon,0
claude-3-sonnet-20240229,20,20241028223159,214,prev,1,Symbol,!,%,%,0
claude-3-sonnet-20240229,21,20241028223159,224,prev,2,Symbol,!,@,%,0
claude-3-sonnet-20240229,22,20241028223201,314,next,1,Symbol,!,^,^,0
claude-3-sonnet-20240229,23,20241028223201,324,next,2,Symbol,!,#,^,0
claude-3-sonnet-20240229,24,20241028223202,215,prev,1,Latin,e,d,d,0
claude-3-sonnet-20240229,25,20241028223202,225,prev,2,Latin,e,c,c,0
claude-3-sonnet-20240229,26,20241028223204,315,next,1,Latin,e,f,f,0
claude-3-sonnet-20240229,27,20241028223204,325,next,2,Latin,e,g,g,0
claude-3-sonnet-20240229,28,20241028223205,215,prev,1,Greek,epsilon,delta,delta,0
claude-3-sonnet-20240229,29,20241028223206,225,prev,2,Greek,epsilon,gamma,gamma,0
claude-3-sonnet-20240229,30,20241028223206,315,next,1,Greek,epsilon,zeta,zeta,0
claude-3-sonnet-20240229,31,20241028223207,325,next,2,Greek,epsilon,eta,eta,0
claude-3-sonnet-20240229,32,20241028223208,215,prev,1,Symbol,^,!,%,0
claude-3-sonnet-20240229,33,20241028223208,225,prev,2,Symbol,^,%,!,0
claude-3-sonnet-20240229,34,20241028223209,315,next,1,Symbol,^,#,#,0
claude-3-sonnet-20240229,35,20241028223209,325,next,2,Symbol,^,~,#,0
claude-3-sonnet-20240229,36,20241028223210,216,prev,1,Latin,f,e,e,0
claude-3-sonnet-20240229,37,20241028223211,226,prev,2,Latin,f,d,d,0
claude-3-sonnet-20240229,38,20241028223212,316,next,1,Latin,f,g,g,0
claude-3-sonnet-20240229,39,20241028223212,326,next,2,Latin,f,h,h,0
claude-3-sonnet-20240229,40,20241028223213,216,prev,1,Greek,zeta,epsilon,epsilon,0
claude-3-sonnet-20240229,41,20241028223213,226,prev,2,Greek,zeta,delta,delta,0
claude-3-sonnet-20240229,42,20241028223214,316,next,1,Greek,zeta,eta,eta,0
claude-3-sonnet-20240229,43,20241028223214,326,next,2,Greek,zeta,theta,eta,0
claude-3-sonnet-20240229,44,20241028223215,216,prev,1,Symbol,#,^,~,0
claude-3-sonnet-20240229,45,20241028223216,226,prev,2,Symbol,#,!,^,0
claude-3-sonnet-20240229,46,20241028223216,316,next,1,Symbol,#,~,~,0
claude-3-sonnet-20240229,47,20241028223217,326,next,2,Symbol,#,$,(,0
claude-3-sonnet-20240229,48,20241028223218,217,prev,1,Latin,g,f,f,0
claude-3-sonnet-20240229,49,20241028223218,227,prev,2,Latin,g,e,e,0
claude-3-sonnet-20240229,50,20241028223219,317,next,1,Latin,g,h,h,0
claude-3-sonnet-20240229,51,20241028223219,327,next,2,Latin,g,i,i,0
claude-3-sonnet-20240229,52,20241028223220,217,prev,1,Greek,eta,zeta,zeta,0
