testletid,itemid,alphabet,A,B,C,D
0,101,Latin,a,b,j,k
0,102,Latin,c d,c d d,j k,j k k
0,1001,Latin,c d,c e,g h,g i
0,1002,Latin,d e,d d f f,j k,j j l l
0,1003,Latin,e f,e h,i j,i l
0,1004,Latin,c d,c e e,h i,h j j
0,1005,Latin,e f,d f,l l m m,k k m m
0,1001,Greek,delta epsilon,delta zeta,theta iota,theta kappa
0,1002,Greek,gamma delta,gamma gamma epsilon epsilon,iota kappa,iota iota lambda lambda
0,1003,Greek,gamma delta,gamma zeta,eta theta,eta kappa
0,1004,Greek,epsilon zeta,epsilon eta eta,kappa lambda,kappa mu mu
0,1005,Greek,delta epsilon,gamma epsilon,theta theta iota iota,eta eta iota iota
0,1001,Symbol,% !,% ^,~ $,~ {
0,1002,Symbol,% !,% % ^ ^,# ~,# # $ $
0,1003,Symbol,! ^,! ~,^ #,^ $
0,1004,Symbol,! ^,! # #,$ {,$ = =
0,1005,Symbol,^ #,! #,{ { = =,$ $ = =
1,101,Latin,a,b,j,k
1,102,Latin,c d,c d d,j k,j k k
1,1001,Latin,a b,a c,e f,e g
1,1002,Latin,b c,b b d d,h i,h h j j
1,1003,Latin,c d,c f,g h,g j
1,1004,Latin,a b,a c c,f g,f h h
1,1005,Latin,c d,b d,j j k k,i i k k
1,1001,Greek,beta gamma,beta delta,zeta eta,zeta theta
1,1002,Greek,alpha beta,alpha alpha gamma gamma,eta theta,eta eta iota iota
1,1003,Greek,alpha beta,alpha delta,epsilon zeta,epsilon theta
1,1004,Greek,gamma delta,gamma epsilon epsilon,theta iota,theta kappa kappa
1,1005,Greek,beta gamma,alpha gamma,zeta zeta eta eta,epsilon epsilon eta eta
1,1001,Symbol,* @,* %,^ #,^ ~
1,1002,Symbol,* @,* * % %,! ^,! ! # #
1,1003,Symbol,@ %,@ ^,% !,% #
1,1004,Symbol,@ %,@ ! !,# ~,# $ $
1,1005,Symbol,% !,@ !,~ ~ $ $,# # $ $
2,101,Latin,a,b,j,k
2,102,Latin,c d,c d d,j k,j k k
2,1001,Latin,b c,b d,f g,f h
2,1002,Latin,c d,c c e e,i j,i i k k
2,1003,Latin,d e,d g,h i,h k
2,1004,Latin,b c,b d d,g h,g i i
2,1005,Latin,d e,c e,k k l l,j j l l
2,1001,Greek,gamma delta,gamma epsilon,eta theta,eta iota
2,1002,Greek,beta gamma,beta beta delta delta,theta iota,theta theta kappa kappa
2,1003,Greek,beta gamma,beta epsilon,zeta eta,zeta iota
2,1004,Greek,delta epsilon,delta zeta zeta,iota kappa,iota lambda lambda
2,1005,Greek,gamma delta,beta delta,eta eta theta theta,zeta zeta theta theta
2,1001,Symbol,@ %,@ !,# ~,# $
2,1002,Symbol,@ %,@ @ ! !,^ #,^ ^ ~ ~
2,1003,Symbol,% !,% #,! ^,! ~
2,1004,Symbol,% !,% ^ ^,~ $,~ { {
