"itemid","alphabet","A","B","C","D"
101,"Latin","a","b","j","k"
102,"Latin","c d","c d d","j k","j k k"
1001,"Latin","a b","a c","g h","g i"
1002,"Latin","c d","c c e e","m n","m m o o"
1003,"Latin","e f","e h","k l","k n"
1004,"Latin","d e","d f f","g h","g i i"
1005,"Latin","c d","b d","m m n n","l l n n"
1001,"Greek","&alpha; &beta;","&alpha; &gamma;","&zeta; &eta;","&zeta; &theta;"
1002,"Greek","&gamma; &delta;","&gamma; &gamma; &epsilon; &epsilon;","&kappa; &lambda;","&kappa; &kappa; &mu; &mu;"
1003,"Greek","&epsilon; &zeta;","&epsilon; &theta;","&iota; &kappa;","&iota; &mu;"
1004,"Greek","&eta; &theta;","&eta; &iota; &iota;","&lambda; &mu;","&lambda; &nu; &nu;"
1005,"Greek","&beta; &gamma;","&alpha; &gamma;","&nu; &nu; &xi; &xi;","&mu; &mu; &xi; &xi;"
1001,"Symbol","* @","* %","~ $","~ {"
1002,"Symbol","% !","% % ^ ^","? :","? ? ] ]"
1003,"Symbol","@ %","@ ^","# ~","# {"
1004,"Symbol","! ^","! # #","$ {","$ ? ?"
1005,"Symbol","^ #","! #","? ? : :","{ { : :"
