"testletid","itemid","alphabet","A","B","C","D"
0,101,"Latin","a","b","j","k"
0,102,"Latin","c d","c d d","j k","j k k"
0,1001,"Latin","c d","c e","g h","g i"
0,1002,"Latin","d e","d d f f","j k","j j l l"
0,1003,"Latin","e f","e h","i j","i l"
0,1004,"Latin","c d","c e e","h i","h j j"
0,1005,"Latin","e f","d f","l l m m","k k m m"
0,1001,"Greek","delta epsilon","delta zeta","theta iota","theta kappa"
0,1002,"Greek","gamma delta","gamma gamma epsilon epsilon","iota kappa","iota iota lambda lambda"
0,1003,"Greek","gamma delta","gamma zeta","eta theta","eta kappa"
0,1004,"Greek","epsilon zeta","epsilon eta eta","kappa lambda","kappa mu mu"
0,1005,"Greek","delta epsilon","gamma epsilon","theta theta iota iota","eta eta iota iota"
0,1001,"Symbol","$ %","$ &",") *",") +"
0,1002,"Symbol","$ %","$ $ & &","( )","( ( * *"
0,1003,"Symbol","% &","% )","& (","& *"
0,1004,"Symbol","% &","% ( (","* +","* - -"
0,1005,"Symbol","& (","% (","+ + - -","* * - -"
