"itemnr","itemid","prev_next","prev_next_dist","alphabet","stimulus","solution"
1,213,"prev",1,"Latin","c","b"
2,223,"prev",2,"Latin","c","a"
3,313,"next",1,"Latin","c","d"
4,323,"next",2,"Latin","c","e"
5,213,"prev",1,"Greek","gamma","beta"
6,223,"prev",2,"Greek","gamma","alpha"
7,313,"next",1,"Greek","gamma","delta"
8,323,"next",2,"Greek","gamma","epsilon"
9,213,"prev",1,"Symbol","%","@"
10,223,"prev",2,"Symbol","%","*"
11,313,"next",1,"Symbol","%","!"
12,323,"next",2,"Symbol","%","^"
13,214,"prev",1,"Latin","d","c"
14,224,"prev",2,"Latin","d","b"
15,314,"next",1,"Latin","d","e"
16,324,"next",2,"Latin","d","f"
17,214,"prev",1,"Greek","delta","gamma"
18,224,"prev",2,"Greek","delta","beta"
19,314,"next",1,"Greek","delta","epsilon"
20,324,"next",2,"Greek","delta","zeta"
21,214,"prev",1,"Symbol","!","%"
22,224,"prev",2,"Symbol","!","@"
23,314,"next",1,"Symbol","!","^"
24,324,"next",2,"Symbol","!","#"
25,215,"prev",1,"Latin","e","d"
26,225,"prev",2,"Latin","e","c"
27,315,"next",1,"Latin","e","f"
28,325,"next",2,"Latin","e","g"
29,215,"prev",1,"Greek","epsilon","delta"
30,225,"prev",2,"Greek","epsilon","gamma"
31,315,"next",1,"Greek","epsilon","zeta"
32,325,"next",2,"Greek","epsilon","eta"
33,215,"prev",1,"Symbol","^","!"
34,225,"prev",2,"Symbol","^","%"
35,315,"next",1,"Symbol","^","#"
36,325,"next",2,"Symbol","^","~"
37,216,"prev",1,"Latin","f","e"
38,226,"prev",2,"Latin","f","d"
39,316,"next",1,"Latin","f","g"
40,326,"next",2,"Latin","f","h"
41,216,"prev",1,"Greek","zeta","epsilon"
42,226,"prev",2,"Greek","zeta","delta"
43,316,"next",1,"Greek","zeta","eta"
44,326,"next",2,"Greek","zeta","theta"
45,216,"prev",1,"Symbol","#","^"
46,226,"prev",2,"Symbol","#","!"
47,316,"next",1,"Symbol","#","~"
48,326,"next",2,"Symbol","#","$"
49,217,"prev",1,"Latin","g","f"
50,227,"prev",2,"Latin","g","e"
51,317,"next",1,"Latin","g","h"
52,327,"next",2,"Latin","g","i"
53,217,"prev",1,"Greek","eta","zeta"
54,227,"prev",2,"Greek","eta","epsilon"
55,317,"next",1,"Greek","eta","theta"
56,327,"next",2,"Greek","eta","iota"
57,217,"prev",1,"Symbol","~","#"
58,227,"prev",2,"Symbol","~","^"
59,317,"next",1,"Symbol","~","$"
60,327,"next",2,"Symbol","~","{"
61,218,"prev",1,"Latin","h","g"
62,228,"prev",2,"Latin","h","f"
63,318,"next",1,"Latin","h","i"
64,328,"next",2,"Latin","h","j"
65,218,"prev",1,"Greek","theta","eta"
66,228,"prev",2,"Greek","theta","zeta"
67,318,"next",1,"Greek","theta","iota"
68,328,"next",2,"Greek","theta","kappa"
69,218,"prev",1,"Symbol","$","~"
70,228,"prev",2,"Symbol","$","#"
71,318,"next",1,"Symbol","$","{"
72,328,"next",2,"Symbol","$","="
