itemid,alphabet,A,B,C,D,rule_AB
201,"Latin","c","d","h","i","successor(all,1)"
202,"Latin","c","e","h","j","successor(all,2)"
203,"Latin","d","c","h","g","predecessor(all,1)"
204,"Latin","e","c","h","f","predecessor(all,2)"
205,"Latin","c d","c d d","h i","h i i","repetition(second,2)"
206,"Latin","c d","c c d d","h i","h h i i","repetition(all,2)"
201,"Greek","gamma","delta","theta","iota","successor(all,1)"
202,"Greek","gamma","epsilon","theta","kappa","successor(all,2)"
203,"Greek","delta","gamma","theta","eta","predecessor(all,1)"
204,"Greek","epsilon","gamma","theta","zeta","predecessor(all,2)"
205,"Greek","gamma delta","gamma delta delta","theta iota","theta iota iota","repetition(second,2)"
206,"Greek","gamma delta","gamma gamma delta delta","theta iota","theta theta iota iota","repetition(all,2)"
201,"Symbol","%","!","~","$","successor(all,1)"
202,"Symbol","%","^","~","{","successor(all,2)"
203,"Symbol","!","%","~","#","predecessor(all,1)"
204,"Symbol","^","%","=","$","predecessor(all,2)"
205,"Symbol","% !","% ! !","~ $","~ $ $","repetition(second,2)"
206,"Symbol","% !","% % ! !","~ $","~ ~ $ $","repetition(all,2)"
